INFO: text_id: D3368   uid: 5c18d0d543bc43ae8767096e35d1db11
INFO: text_id: D3488   uid: 345ffcec3f254f05b047fb94c07b033e
INFO: text_id: D3518   uid: 0eef3ef244c540dca7aca3261e62d4c9
INFO: text_id: D3550   uid: 501f825e5e0b4e1c8e1a7052296bac86
INFO: text_id: D3562   uid: df9c9c2526d94559a812c8e1371b53d6
INFO: text_id: D3645   uid: 68690630e22a4856b00aabf5c1295862
INFO: text_id: D3664   uid: 3a7263d177eb47a9858a9bb81f041e28
INFO: text_id: D3686   uid: c31fef207e234a928144115e0de29c16
INFO: text_id: D3687   uid: db1962213b2146a6af76ffa9a87d89ed
INFO: text_id: D3688   uid: 607593a2a9c64e02981c646b12e10847
INFO: text_id: D3690   uid: bcdd108d5cee40e3a4f5b95343880c15
INFO: text_id: D3708   uid: 7d2924eb7ffb4786baf841eacc7ca344
INFO: text_id: D3725   uid: dac66d9407d8494e96c2dd3e63da464a
INFO: text_id: D3729   uid: 03661ac7272642c498ec55d8292eb154
INFO: text_id: D3739   uid: 7825f6debb2249cc927cc7ce6b66e04b
INFO: text_id: D3769   uid: 2da9fe861ae2488abbe0b3962a78c83f
INFO: text_id: D3778   uid: fa80d453e9714f489f26f171fb014b9f
INFO: text_id: D3780   uid: 0b578b44446b400197e2e25059f4b8db
INFO: text_id: D3788   uid: 896bd2c0facc4fed9b71e3786665da58
INFO: text_id: D3790   uid: dac7012166ec429cbabc9f98fbe90f39
INFO: text_id: D3792   uid: cbeadd0cb96b4ed2b5fc64bd04a621f6
INFO: text_id: D3793   uid: ce873650a2ee4479874376e2e8a0288b
INFO: text_id: D3804   uid: 1464b22a70684be2a66922a4df9ab5ac
INFO: text_id: D3809   uid: 1a803a255ddb4e87bd0d4705133aa26a
INFO: text_id: D3815   uid: ef667b97abf240ef978a0ed3bf524226
INFO: text_id: D3816   uid: 756cb85bc8e2458d801f7070dc2caa2c
INFO: text_id: D3817   uid: 36eeb115a94c42ebb409b0990b45cce8
INFO: text_id: D3824   uid: 93d99646848c4fd694e8a81afeac06bd
INFO: text_id: D3825   uid: 4c959ab6752d4a8d842cebac59dc37fd
INFO: text_id: D3826   uid: c854e25f0e1347d09a1b8105c4d7c504
INFO: text_id: D3827   uid: b6d9efcdedba41549ba50fd55766b4b4
INFO: text_id: D3828   uid: 0a6a6003ff034ece8778cafa3ae5dd17
INFO: text_id: D3829   uid: fbca7dcac780411084bf0267e01d638b
INFO: text_id: D3830   uid: ac56625a89694459967fd05120aef9c4
INFO: text_id: D3831   uid: d55adad6b61b4b868600880e1690b5d0
INFO: text_id: D3832   uid: de312568482a46a08d3383ffa3480f6d
INFO: text_id: D3833   uid: 0aed427a13114d8295bfdf4e0c81a5e6
INFO: text_id: D3834   uid: 3e16b00a8a36452fb3dac9d705b90119
INFO: text_id: D3835   uid: bd7c549e78864fbebc096541258bb4c8
INFO: text_id: D3836   uid: 0e76b230959a4941b00aaceb055370e4
INFO: text_id: D3837   uid: 6a377cbbf9f7445eb610d252e6c8b148
INFO: text_id: D3838   uid: 7117cbed7acb4a3a81f8f41640df8024
INFO: text_id: D3839   uid: 3c12e41971ea4262b8c517dd8b5320e1
INFO: text_id: D3840   uid: 27b0b8df4d7941d0bb0d7b0bfa14b04a
INFO: text_id: D3842   uid: 619ddd3c9b8c40a898a83083e44b655e
INFO: text_id: D3843   uid: 10f1849964264d2985342324540e87ac
INFO: text_id: D3844   uid: e84543369e8447b0a5cd5fc07d3d09aa
INFO: text_id: D3845   uid: 7afb6f7c990d4557a468947276e0a3e3
INFO: text_id: D3846   uid: d860643479d24ebc9bd387477989df0c
INFO: text_id: D3847   uid: d1de216ba762407198e87e320d8cdf52
INFO: text_id: D3848   uid: d83adcc461c44552862d001173b88ba0
INFO: text_id: D3849   uid: 736070f1cccc436a980144c15a111ebe
INFO: text_id: D3850   uid: 1319f4a72fb84f64a92b21c2930d7f6b
INFO: text_id: D3851   uid: 18ba20d269fb42dfa9c71df77ee19da4
INFO: text_id: D3854   uid: 7318cd49168c451eba1d84c301847ea4
INFO: text_id: D3855   uid: 8b1017f33ee247eaa739ff536151fcf5
INFO: text_id: D3856   uid: 5cc53b6344d64ed9aa234dabbab2714a
INFO: text_id: D3857   uid: 15e38ca7d96d489f90b2f24980b48504
INFO: text_id: D3860   uid: 912cec5aa2e641a6a7699c2a31c48f50
INFO: text_id: D3861   uid: 87af7ccf9c504ff7959438d8bf469711
INFO: text_id: D3862   uid: 63c92b8b144f43068396a605ed0b6bef
INFO: text_id: D3863   uid: ab24c6a1c56d40a3939652b6bed30eb9
INFO: text_id: D3864   uid: 485c6dcc3ce049878b9e76f97b719a1f
INFO: text_id: D3865   uid: fcbbd148c890499085ee812c51365303
INFO: text_id: D3866   uid: 7a25f6a81d784642be9282fc6c3a55ee
INFO: text_id: D3867   uid: 02bb99038919449887217c22882559e3
INFO: text_id: D3871   uid: d1815e6eb09a4f669dec629b6b7bb64d
